"Name","Status"
"WpnUserService_124ad5f4","Running"
"WSAIFabricSvc","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Running"
"wuqisvc","Stopped"
"WwanSvc","Stopped"
"XblAuthManager","Running"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
